feature,mean,std
promedio_general,76.75021143304619,8.652811369211822
promedio_periodo,77.36252542372881,9.859308488914964
porcentaje_avance,5.245207517619421,4.139384936285833
porcentaje_asistencia,74.9559749412686,10.903615038928516
retardos,1.3868441660140955,1.0695833767569491
num_asesorias,1.4455755677368833,1.2919446536986814
num_incidencias,0.24823805794831635,0.7510413212818681
recursamientos,0.14252153484729835,0.41700453291076095
rezago_materias,1.370399373531715,1.3101020351325678
creditos_inscritos_periodo,8.85512920908379,4.423207015328876
creditos_aprobados_periodo,6.265465935787001,4.71597420724386
periodos_cursados,2.4111198120595145,1.280894514997358
periodos_sin_inscripcion,2.014878621769773,2.0762137445520525
materias_reprobadas_periodo,0.26859827721221613,0.5504115289019367
materias_reprobadas_acumuladas,0.6139389193422083,1.0862102428392717
materias_en_curso_periodo,0.18089271730618636,0.45743983202544775
tendencia_promedio,0.21029661016949147,7.807058097915866
varianza_calificaciones,18.60142521534847,42.58490418232478
tutorias_abiertas,0.49725920125293654,0.9116149529267689
tutorias_cerradas,1.0610806577916994,0.8250368201803402
compromisos_pendientes,0.581832419733751,1.0261645645308002
compromisos_cumplidos,1.2388410336726703,0.8902822991747245
permisos_aprobados,1.4189506656225528,1.0007285497571692
permisos_rechazados,0.5943617854346124,0.5935435738382963
bandera_dato_incompleto,0.15974941268598278,0.3663734949917452
