feature,mean,std
promedio_general,76.70873873873873,8.762318622285385
promedio_periodo,77.4155703211517,9.314379181718202
porcentaje_avance,4.812442442442442,4.127911735458521
porcentaje_asistencia,71.92659659659661,11.455670395600647
retardos,1.5465465465465464,1.066171800364969
num_asesorias,1.4914914914914914,1.3592369929046806
num_incidencias,0.30930930930930933,0.8210344212908297
recursamientos,0.8088088088088088,1.340999911724728
rezago_materias,1.5805805805805806,1.5702639880782845
creditos_inscritos_periodo,11.31931931931932,7.000867752387811
creditos_aprobados_periodo,8.00900900900901,7.122474890618177
periodos_cursados,1.952952952952953,0.9250105043846858
periodos_sin_inscripcion,3.694694694694695,3.2367202906834573
materias_reprobadas_periodo,0.3433433433433433,0.701231030539454
materias_reprobadas_acumuladas,0.5745745745745746,1.065518429553385
materias_en_curso_periodo,0.23123123123123124,0.5058076976604826
tendencia_promedio,0.15316722037652272,6.9589304677518316
varianza_calificaciones,24.71179179179179,51.282094406326586
tutorias_abiertas,0.6776776776776777,0.8791957673974675
tutorias_cerradas,1.1381381381381381,0.8931599361864287
compromisos_pendientes,0.7847847847847848,1.043943747179897
compromisos_cumplidos,1.4114114114114114,1.071941681659403
permisos_aprobados,1.5555555555555556,1.0206411588024993
permisos_rechazados,0.6196196196196196,0.6243759290333121
bandera_dato_incompleto,0.2042042042042042,0.40311889956876484
