variable_a,variable_b,correlation
materias_reprobadas,materias_reprobadas_acumuladas,1.0
materias_en_curso,materias_en_curso_periodo,1.0
creditos_acumulados,porcentaje_avance,0.9993210754789443
materias_aprobadas,creditos_acumulados,0.9865120613157137
materias_aprobadas,porcentaje_avance,0.9862158524710619
porcentaje_asistencia,faltas,-0.9499800318619325
rezago_materias,periodos_sin_inscripcion,0.9499065295052158
tutorias_abiertas,compromisos_pendientes,0.9365126392658656
promedio_general,promedio_periodo,0.9261058140357972
materias_reprobadas,recursamientos,0.9259596457769979
recursamientos,materias_reprobadas_acumuladas,0.9259596457769977
materias_en_curso,bandera_dato_incompleto,0.9024632754342038
materias_en_curso_periodo,bandera_dato_incompleto,0.9024632754342038
tutorias_cerradas,compromisos_cumplidos,0.8952042548847765
num_permisos,permisos_aprobados,0.8834318517504615
